epoch,lr,train_loss,val_loss,dice_0,cls_acc,cls_auc,epoch_time_s,new_best,best_metric
108,0.00601,0.1179,0.2675,0.8647,0.4902,0.7701,29.68,,
109,0.00597,0.0729,0.2058,0.8283,0.6569,0.8063,29.74,yes,1.6687999963760376
110,0.00593,0.0988,0.2106,0.8473,0.6176,0.688,29.74,,
111,0.0059,0.1244,0.1399,0.8715,0.6471,0.7714,29.53,,
112,0.00586,0.1271,0.1889,0.8547,0.6078,0.8123,29.01,yes,1.673699975013733
113,0.00582,0.0921,0.0991,0.8633,0.6471,0.7663,29.6,,
114,0.00578,0.1287,0.4858,0.8831,0.4412,0.6914,29.0,,
115,0.00574,0.0843,0.1524,0.8709,0.6569,0.7633,28.53,,
116,0.0057,0.0828,0.0347,0.8637,0.6961,0.8582,29.67,yes,1.722499966621399
117,0.00567,0.0483,0.1987,0.8755,0.6176,0.8229,29.03,,
118,0.00563,0.0781,0.0738,0.8994,0.6275,0.7823,28.78,,
119,0.00559,0.0828,0.0752,0.8842,0.5882,0.8039,30.13,,
120,0.00555,0.1264,0.184,0.7984,0.6471,0.7271,29.16,,
121,0.00551,0.0844,0.1847,0.819,0.5784,0.6628,29.47,,
122,0.00547,0.0932,0.0546,0.8856,0.6275,0.7985,29.74,,
123,0.00544,0.0368,0.2161,0.8695,0.549,0.7243,28.79,,
124,0.0054,0.0446,0.0593,0.8711,0.7157,0.7854,29.65,,
125,0.00536,0.0278,0.081,0.9029,0.6373,0.7895,28.99,,
126,0.00532,0.0523,0.349,0.8711,0.5196,0.6895,29.45,,
127,0.00528,0.0897,0.1392,0.8738,0.5882,0.753,29.95,,
128,0.00524,0.0527,0.1215,0.8578,0.6765,0.7526,28.94,,
129,0.0052,0.0571,0.1451,0.8931,0.598,0.7675,29.75,,
130,0.00517,0.0754,0.0473,0.9036,0.6667,0.777,28.53,,
131,0.00513,0.0661,0.0694,0.8744,0.7157,0.8157,29.17,,
132,0.00509,0.0704,0.1123,0.8743,0.6863,0.7049,30.58,,
133,0.00505,0.0946,0.0286,0.8834,0.6863,0.832,28.9,,
