epoch,lr,train_loss,val_loss,dice_0,dice_1,dice_2,dice_3,cls_acc,cls_auc,epoch_time_s,new_best,best_metric
105,0.00612,-0.3815,-0.2621,0.9492,0.8071,0.9366,0.8784,0.6875,0.8633,77.42,,
106,0.00609,-0.3813,-0.1882,0.9663,0.8806,0.9083,0.8715,0.6562,0.8164,75.57,,
107,0.00605,-0.3783,-0.3058,0.9668,0.8777,0.9425,0.8785,0.6562,0.8828,76.49,,
108,0.00601,-0.3662,-0.2549,0.9558,0.8013,0.913,0.8232,0.5938,0.7227,75.76,,
109,0.00597,-0.3762,-0.342,0.9653,0.8155,0.9331,0.8743,0.9062,0.957,75.88,,
110,0.00593,-0.3548,-0.2934,0.9543,0.8051,0.917,0.887,0.5625,0.9258,75.87,,
111,0.0059,-0.3683,-0.3189,0.9682,0.8795,0.9319,0.8929,0.7188,0.834,74.64,,
112,0.00586,-0.3745,-0.2851,0.9445,0.8395,0.9284,0.8865,0.625,0.9023,75.65,,
113,0.00582,-0.3785,-0.2937,0.962,0.8463,0.9202,0.881,0.625,0.7969,75.22,,
114,0.00578,-0.3672,-0.3481,0.9652,0.8827,0.9357,0.8664,0.875,0.9336,76.22,,
115,0.00574,-0.3757,-0.347,0.965,0.8874,0.9485,0.8789,0.875,0.9727,75.33,,
116,0.0057,-0.3751,-0.3358,0.9644,0.8749,0.9356,0.8642,0.875,0.9727,75.93,,
117,0.00567,-0.3649,-0.2857,0.9419,0.8376,0.927,0.8937,0.5,0.8945,76.11,,
118,0.00563,-0.3675,-0.2979,0.9608,0.8615,0.9383,0.8451,0.6562,0.9395,75.17,,
119,0.00559,-0.3783,-0.2264,0.9641,0.8593,0.9287,0.8844,0.5625,0.9141,72.62,,
120,0.00555,-0.3791,-0.3257,0.964,0.8497,0.9273,0.8768,0.5625,0.9727,75.58,,
121,0.00551,-0.3805,-0.3089,0.9635,0.8741,0.9281,0.8789,0.5625,0.918,76.24,,
122,0.00547,-0.379,-0.2641,0.9701,0.8225,0.9443,0.851,0.6562,0.8203,74.43,,
123,0.00544,-0.3789,-0.2936,0.9626,0.8836,0.9407,0.8801,0.6875,0.9531,75.18,,
124,0.0054,-0.374,-0.2854,0.9585,0.8629,0.9262,0.876,0.5625,0.9141,76.11,,
125,0.00536,-0.3803,-0.2269,0.9697,0.8414,0.9382,0.8824,0.5,0.8906,76.46,,
126,0.00532,-0.3834,-0.2502,0.9619,0.837,0.9187,0.8752,0.625,0.9453,75.02,,
127,0.00528,-0.3847,-0.2735,0.9607,0.9023,0.9399,0.8831,0.75,0.8828,75.04,,
128,0.00524,-0.3839,-0.2546,0.9529,0.8818,0.9453,0.8837,0.6562,0.9375,75.19,,
129,0.0052,-0.3862,-0.2632,0.953,0.847,0.9454,0.8889,0.625,0.9453,74.71,,
130,0.00517,-0.3838,-0.2421,0.952,0.8449,0.9423,0.8841,0.7188,0.8594,74.55,,
131,0.00513,-0.3833,-0.2431,0.9675,0.8706,0.9406,0.8861,0.5625,0.8008,75.54,,
132,0.00509,-0.3843,-0.247,0.9623,0.8301,0.9488,0.8924,0.6875,0.8281,74.99,,
133,0.00505,-0.3823,-0.2822,0.961,0.8924,0.9355,0.8759,0.6562,0.9453,74.43,,
134,0.00501,-0.3877,-0.2421,0.966,0.8898,0.9377,0.8628,0.5938,0.8359,75.49,,
135,0.00497,-0.3861,-0.1769,0.948,0.8104,0.9363,0.8945,0.5312,0.707,74.33,,
136,0.00493,-0.3874,-0.2719,0.9594,0.8945,0.9466,0.8732,0.5938,0.8633,74.61,,
137,0.00489,-0.3852,-0.2749,0.9624,0.8363,0.9415,0.8869,0.6562,0.8125,77.69,,
138,0.00485,-0.3839,-0.312,0.9508,0.8543,0.9281,0.8936,0.6875,0.9258,74.52,,
139,0.00482,-0.3888,-0.3211,0.9638,0.8934,0.9387,0.8972,0.6562,0.8359,76.01,,
140,0.00478,-0.3948,-0.306,0.9583,0.8925,0.9359,0.8771,0.6875,0.9297,76.72,,
141,0.00474,-0.3901,-0.319,0.9695,0.8609,0.9378,0.8906,0.75,0.9023,75.36,,
142,0.0047,-0.3909,-0.2936,0.9572,0.8558,0.9445,0.8649,0.75,0.8867,74.97,,
